id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
33503,3135976514,8.807163139850434,40.4494857,-3.6888348,"(40.449485699999997, -3.6888348)",CHAMARTÍN,EL VISO,MU-17,"441579,5953","4477874,523",-3.6889383792877197,40.44947814941406,"(40.449478, -3.6889384)"
36334,3136517490,5.091217697045331,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",VILLAVERDE,SAN ANDRÉS,MU-17,"439225,4732","4466525,486",-3.7156147956848145,40.347068786621094,"(40.347069, -3.7156148)"
3620,3136517521,5.679963235263791,40.3468586,-3.71578,"(40.346858599999997, -3.7157800000000001)",VILLAVERDE,SAN ANDRÉS,MU-17,"439215,4729","4466498,486",-3.7157299518585205,40.346824645996094,"(40.346825, -3.71573)"
24969,3136517551,7.703497349859039,40.3466971,-3.7158471,"(40.3466971, -3.7158471)",VILLAVERDE,SAN ANDRÉS,MU-17,"439210,4727","4466478,486",-3.7157866954803467,40.34664535522461,"(40.346645, -3.7157867)"
36333,3159536242,7.547044205693907,40.357998,-3.6848505,"(40.357998000000002, -3.6848505)",VILLAVERDE,LOS ROSALES,MU-16,"441843,4763","4467711,461",-3.6848981380462646,40.357940673828125,"(40.357941, -3.6848981)"
46125,3159536243,5.279192537362642,40.3580323,-3.6848089,"(40.358032299999998, -3.6848089000000002)",VILLAVERDE,LOS ROSALES,MU-17,"441855,4763","4467718,461",-3.6847574710845947,40.35800552368164,"(40.358006, -3.6847575)"
46176,3190384550,5.31669540407345,40.4097448,-3.70367,"(40.409744799999999, -3.7036699999999998)",CENTRO,EMBAJADORES,BA-45,"440291,5802","4473470,438",-3.7037129402160645,40.40970993041992,"(40.40971, -3.7037129)"
14745,3332417353,6.0622868806315,40.5191995,-3.7780074,"(40.519199499999999, -3.7780073999999999)",FUENCARRAL-EL PARDO,EL PARDO,MU-16,"434093,6782","4485682,635",-3.778022527694702,40.51925277709961,"(40.519253, -3.7780225)"
22988,3332417356,6.934846936019681,40.519221,-3.7779281,"(40.519221000000002, -3.7779281)",FUENCARRAL-EL PARDO,EL PARDO,MU-16,"434097,6782","4485684,635",-3.777975559234619,40.51927185058594,"(40.519272, -3.7779756)"
4119,3332492454,8.324863028382708,40.5187764,-3.7772779,"(40.5187764, -3.7772779000000001)",FUENCARRAL-EL PARDO,EL PARDO,MU-16,"434148,6777","4485632,634",-3.7773680686950684,40.51880645751953,"(40.518806, -3.7773681)"
