DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
CHAMBERÍ,TRAFALGAR,"CALLE DE SANTA ENGRACIA,59",50_LTS,440761.7934,4476138.536,-3.6984200477600098,40.433780670166016,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,30.231099631424488,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,ALMAGRO,"CALLE DE SANTA ENGRACIA,48",50_LTS,440792.3454,4476140.515,-3.6980597972869873,40.433799743652344,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,37.419558803795375,"(40.433522199999999, -3.6983096)"
CHAMBERÍ,ALMAGRO,"CALLE DE SANTA ENGRACIA,48",50_LTS,440800.0492,4476149.334,-3.697969913482666,40.43387985229492,node/3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)",,49.08667131135216,"(40.433522199999999, -3.6983096)"
MONCLOA-ARAVACA,ARGUELLES,"CALLE DE LA PRINCESA,89",80_LTS,438969.6868,4476269.477,-3.719559907913208,40.43482971191406,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,47.34749771456988,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"CALLE DE LA PRINCESA,98",80_LTS,439004.4979,4476273.634,-3.7191500663757324,40.434871673583984,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,35.19715981165908,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"CALLE DE LA PRINCESA,98",120_LTS,438998.7776,4476300.322,-3.719219923019409,40.43510818481445,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,8.234864474821393,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",50_LTS,439018.3848,4476312.373,-3.7189900875091553,40.435218811035156,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,21.796198350923238,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",40_LTS,438997.253,4476321.426,-3.7192399501800537,40.435298919677734,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,13.206509488300615,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",40_LTS,439004.9045,4476323.584,-3.7191500663757324,40.43532180786133,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,17.587327731726575,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",40_LTS,438999.8336,4476325.845,-3.719209909439087,40.435340881347656,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,18.083703189228192,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",50_LTS,439029.5374,4476327.824,-3.718859910964966,40.435359954833984,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,38.06332193027894,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",40_LTS,439016.8872,4476336.807,-3.7190101146698,40.43544006347656,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,34.963751510895904,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",40_LTS,439010.9682,4476339.075,-3.7190799713134766,40.43545913696289,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,33.93936037082476,"(40.435180199999998, -3.7192425)"
MONCLOA-ARAVACA,ARGUELLES,"PLAZA DE LA MONCLOA,1",40_LTS,439015.2632,4476345.701,-3.7190299034118652,40.43552017211914,node/4564015790,40.4351802,-3.7192425,"(40.435180199999998, -3.7192425)",,41.87860774817688,"(40.435180199999998, -3.7192425)"
