id_OSM,LATITUD,LONGITUD,coord
node/3916515092,40.3555254,-3.7022327,"(40.355525399999998, -3.7022327000000002)"
node/3920327165,40.3524678,-3.7033353,"(40.352467799999999, -3.7033353)"
node/3920327168,40.3525467,-3.7034236,"(40.352546699999998, -3.7034235999999998)"
node/3920327171,40.3525804,-3.7035551,"(40.352580400000001, -3.7035551)"
node/3920327175,40.3526232,-3.7033959,"(40.352623199999996, -3.7033958999999999)"
node/3920327179,40.352659,-3.7035368,"(40.352659000000003, -3.7035368000000002)"
node/3920327188,40.3528642,-3.7034725,"(40.352864199999999, -3.7034725000000002)"
node/3920327193,40.3529411,-3.7034296,"(40.352941100000002, -3.7034296000000002)"
node/3920327199,40.3530227,-3.7033859,"(40.353022699999997, -3.7033858999999998)"
node/3920327209,40.3531812,-3.7031357,"(40.353181200000002, -3.7031356999999998)"
node/3920327213,40.353218,-3.7032774,"(40.353217999999998, -3.7032774000000002)"
node/3920327217,40.3532582,-3.7031041,"(40.353258199999999, -3.7031041)"
node/3920327220,40.3532915,-3.7032337,"(40.353291499999997, -3.7032337000000002)"
node/3920327232,40.3534925,-3.7031659,"(40.353492500000002, -3.7031659000000001)"
node/3920327238,40.3535832,-3.7031252,"(40.353583200000003, -3.7031252000000001)"
node/3920327242,40.3536728,-3.7030935,"(40.353672799999998, -3.7030935)"
node/3920327248,40.3538175,-3.7028569,"(40.353817499999998, -3.7028569)"
node/3920327251,40.3538612,-3.7029925,"(40.353861199999997, -3.7029925000000001)"
node/3920327254,40.3539002,-3.7028177,"(40.353900199999998, -3.7028177000000002)"
node/3920327357,40.3539289,-3.7029564,"(40.3539289, -3.7029564000000001)"
node/3964481570,40.4803547,-3.7155362,"(40.480354699999999, -3.7155361999999998)"
node/4119735470,40.4490738,-3.728252,"(40.449073800000001, -3.7282519999999999)"
