id_OSM,LATITUD,LONGITUD,coord
node/4907732166,40.4061597,-3.7257371,"(40.406159700000003, -3.7257370999999999)"
node/4994377362,40.4114876,-3.6806519,"(40.411487600000001, -3.6806519)"
node/5011336547,40.4553344,-3.6263997,"(40.455334399999998, -3.6263996999999999)"
node/5014664921,40.5346306,-3.7873358,"(40.5346306, -3.7873358000000001)"
node/5017117015,40.5080954,-3.6980126,"(40.508095400000002, -3.6980126000000002)"
node/5086437450,40.4430873,-3.7057602,"(40.443087300000002, -3.7057601999999998)"
node/5086454364,40.4448255,-3.707679,"(40.4448255, -3.7076790000000002)"
node/5086461228,40.4444381,-3.7093391,"(40.444438099999999, -3.7093390999999998)"
node/5087078122,40.4695499,-3.5692849,"(40.469549899999997, -3.5692849)"
node/5102771713,40.3643996,-3.7652607,"(40.364399599999999, -3.7652606999999998)"
node/5126313627,40.4678629,-3.758612,"(40.4678629, -3.7586119999999998)"
node/5161242781,40.4324367,-3.6114361,"(40.432436699999997, -3.6114361000000001)"
node/5220262671,40.4055631,-3.6751808,"(40.405563100000002, -3.6751808000000001)"
